 model_row            width        mean_elev            maxWT         mean_rch       max_WT_loc   west_index   east_index
       248         800.0000           0.8436           0.4662           0.3941         150.0000          176          191
       249         850.0000           0.7700           0.4669           0.3911         150.0000          175          191
       250         650.0000           0.8653           0.4685           0.4178         150.0000          179          191
       251         600.0000           0.9578           0.4712           0.4393         200.0000          181          192
       252         600.0000           0.9487           0.4721           0.4389         200.0000          181          192
       253         650.0000           0.9352           0.4712           0.4311         200.0000          180          192
       254         650.0000           0.9311           0.4678           0.4237         200.0000          180          192
       255         900.0000           0.6819           0.4678           0.3839         250.0000          175          192
       256         900.0000           0.7482           0.4677           0.3853         250.0000          175          192
       257         900.0000           0.8057           0.4675           0.3897         200.0000          175          192
       258         950.0000           0.7049           0.4688           0.3940         250.0000          175          193
       259         900.0000           0.8337           0.4725           0.4083         250.0000          176          193
       260         900.0000           0.8679           0.4732           0.4093         200.0000          176          193
       261         850.0000           0.9510           0.4722           0.4136         200.0000          177          193
       262         850.0000           0.7578           0.4693           0.4118         200.0000          177          193
       263         800.0000           0.7839           0.4695           0.4187         150.0000          178          193
       264         750.0000           0.8916           0.4704           0.4182         150.0000          179          193
       265         800.0000           0.8175           0.4723           0.4181         200.0000          179          194
       266        1000.0000           0.6210           0.4723           0.3914         200.0000          175          194
       267        1000.0000           0.6710           0.4709           0.3915         200.0000          175          194
       268         950.0000           0.6531           0.4679           0.3919         250.0000          176          194
       269         850.0000           0.8331           0.4649           0.4048         150.0000          178          194
       270         850.0000           0.8236           0.4637           0.4060         150.0000          178          194
       271         800.0000           0.7780           0.4634           0.4095         150.0000          179          194
       272         800.0000           0.8911           0.4634           0.4168         200.0000          180          195
       273         800.0000           0.9986           0.4624           0.4141         200.0000          180          195
       274         800.0000           1.0226           0.4598           0.4132         150.0000          180          195
       275         950.0000           0.8056           0.4583           0.3914         150.0000          177          195
       276         950.0000           0.8026           0.4582           0.3788         150.0000          177          195
       277        1000.0000           0.7001           0.4580           0.3679         150.0000          176          195
       278        1000.0000           0.7231           0.4573           0.3648         150.0000          176          195
       279        1050.0000           0.7745           0.4568           0.3696         150.0000          176          196
       280         900.0000           0.8214           0.4567           0.3825         150.0000          179          196
       281         850.0000           0.6943           0.4566           0.3854         150.0000          180          196
       282         850.0000           0.7941           0.4552           0.3843         150.0000          180          196
       283         850.0000           0.8883           0.4556           0.3853         150.0000          180          196
       284         900.0000           0.8106           0.4567           0.3807         150.0000          179          196
       285         950.0000           0.6993           0.4586           0.3841         200.0000          179          197
       286         950.0000           0.6764           0.4613           0.3873         200.0000          179          197
       287        1350.0000           0.6623           0.4614           0.3524         200.0000          171          197
       288        1400.0000           0.6738           0.4622           0.3504         200.0000          170          197
       289        1350.0000           0.7477           0.4632           0.3528         200.0000          171          197
       290        1350.0000           0.8134           0.4651           0.3614         150.0000          171          197
       291        1150.0000           0.9174           0.4677           0.3847         200.0000          176          198
       292        1150.0000           1.1003           0.4697           0.3916         250.0000          176          198
       293        1200.0000           1.0891           0.4714           0.4023         300.0000          175          198
       294        1250.0000           1.1936           0.4712           0.4089         350.0000          174          198
       295        1400.0000           1.1013           0.4717           0.4044         300.0000          171          198
       296        1600.0000           1.1332           0.4714           0.3983         300.0000          167          198
       297        1800.0000           1.1405           0.4719           0.3941         200.0000          164          199
       298        1900.0000           0.9758           0.4726           0.3880         250.0000          162          199
       299        1850.0000           0.7649           0.4734           0.3789         250.0000          163          199
       300        1350.0000           0.6703           0.4735           0.3848         200.0000          173          199
       301         750.0000           0.9540           0.4765           0.4284         150.0000          185          199
